NUM_EPOCHS,NUM_ANOMALIES,MAE,MSE
1,60288,0.06498554203144169,0.007147075089476299
2,29013,0.017593195238375013,0.0009329007809521457
3,30664,0.018135302888048634,0.0008851261507700869
4,39023,0.016633101210099494,0.0008384082373989339
5,27563,0.011242460991559644,0.00044140555709944407
6,37992,0.009834130150361636,0.0002970766993295219
7,163156,0.02780907422982534,0.0010566280548159053
8,30141,0.013942534622605742,0.0005180599433748046
9,45056,0.01761644481806032,0.0006277536578498298
10,29470,0.006832144935050943,0.00022265154050103134
11,24422,0.011964881624159157,0.0005299792946819008
12,33076,0.007871507759519942,0.000217349805055926
13,176317,0.01724008978934031,0.0003794539619002003
14,21589,0.00838290280399094,0.0004247091721182323
15,36085,0.007280322027136348,0.0001306154551562079
16,34328,0.00598899536843043,0.00013111845933400882
17,43779,0.012420601494758023,0.00031451162780753736
18,32245,0.005512641158717146,0.00013572520426259176
19,22313,0.009756006357433357,0.0005963325739914092
20,30837,0.007977672242686215,0.00023448597195108802
21,19121,0.00882867514964497,0.0003131875928737229
22,36754,0.006603029389111434,0.00011041003555941542
23,35982,0.0061019269686260974,0.0001023720496676578
24,26581,0.00785314362628511,0.0003776069453342533
25,23304,0.00811066808028314,0.0004657460193565691
26,34128,0.007023088465080632,0.0001298459935249458
27,31671,0.005212344134353467,9.010100787787016e-05
28,30822,0.004788052206540146,8.706770773591328e-05
29,26697,0.006911910550351133,0.0002868901109530157
30,22756,0.008466676119415335,0.0004780717648605823
31,64424,0.010518400741896836,0.00020099778040980803
32,29778,0.00487700639713076,0.00010507802050361215
33,30257,0.007285149633637655,0.00024964249073290663
34,35301,0.004980658590152522,8.132128006386492e-05
35,32168,0.00476653212321888,0.00010862841871390429
36,41226,0.009164328207080123,0.000173791133809369
37,28838,0.008007226396526235,0.0002912509138281852
38,24856,0.008916716365177584,0.0004048479044454985
39,34536,0.006168331350228847,0.00012068611068212642
40,32939,0.0053954427891226295,0.00011398019566024966
41,33765,0.005730609833116953,0.00011747061028391054
42,25327,0.009608499037704707,0.0005134486308309735
43,30883,0.006963609675556104,0.0001852114790817513
44,34814,0.006366642206171749,0.00014163914808371347
45,30646,0.0042251113388964015,8.065275856906263e-05
46,21721,0.007920897007703535,0.0004839425160417286
47,19032,0.00918897482458616,0.00040156266384898284
48,35579,0.006569912334196052,0.00011730525374172504
49,36522,0.006568310998579072,0.00012633622209752313
50,25704,0.0050913264254358525,0.00022456600012684793
51,33136,0.00613399861084992,0.00016153655654538448
52,42332,0.010060421229202378,0.00022942694287292312
53,33148,0.004700111190076135,0.0001071912626877408
54,24841,0.00825858414165697,0.00041641737045013724
55,25945,0.004920340579651564,0.00011456030621851285
56,28264,0.006157420780010885,0.00021219184832560746
57,22956,0.0038063589723759477,9.144141332779662e-05
58,21839,0.008843218594639697,0.0005582178855548408
59,30065,0.007171878405974435,0.00015732701682786527
60,22461,0.005570733430127664,0.00016970209024960256
61,35186,0.004945335667458222,8.771471673339767e-05
62,27067,0.006316965482187165,0.00023378463502319962
63,23488,0.00867931363049606,0.00042329284736644044
64,31177,0.00805018077911016,0.00020112312492193328
65,26188,0.008057078554530786,0.0003418807610361779
66,31434,0.004259531008920046,7.346279027203563e-05
67,35036,0.006393451984498407,0.0001240241598063817
68,32176,0.007774646777286694,0.00023313425956897595
69,20430,0.009556400068076986,0.0006124055667071221
70,15293,0.005298270900446979,0.00029506091955217755
71,29828,0.007781317044392796,0.00024275721104648632
72,31947,0.007271211573021257,0.00021866174131193825
73,32295,0.005107983501854212,0.00010342751402480172
74,35038,0.004172007275220166,7.735952367455628e-05
75,27949,0.007918534675319397,0.0002763572442139482
76,28203,0.007926410021541498,0.00031199019762908063
77,25087,0.010931309292766447,0.0005714074635504123
78,23144,0.006180053439288992,0.00025481930166726597
79,28172,0.006148603718886762,0.0001797626599124061
80,32834,0.004383765929462477,8.076796987089125e-05
81,36402,0.00851978257660682,0.0002013733188715642
82,35840,0.00792773354046502,0.0001960735715768585
83,34182,0.003816720161797273,6.726549466065727e-05
84,34092,0.006691587431808254,0.00013955742767747244
85,32669,0.00504991888333201,0.00010790823175309635
86,22978,0.008001063327985407,0.000436408700978258
87,35851,0.007845646412773079,0.00014807430999282892
88,35153,0.005629738443629073,0.00011492355522593489
89,24864,0.006702427725258136,0.00030530089987252507
90,30992,0.006177448022287742,0.00014069150415974666
91,33568,0.007007733682950812,0.00017204790533719216
92,34323,0.005925666268416067,0.00013283102019847435
93,35383,0.00583589692272142,0.00010963621636142889
94,34635,0.00424010211713844,7.94345962151455e-05
95,32700,0.0047716045700715295,8.057247817194681e-05
96,31736,0.005420668554312737,9.8126198631618e-05
97,33992,0.005234349296102057,0.00010412955901047274
98,29516,0.00863324688444286,0.00026887485054758495
99,22797,0.010112998840641445,0.0005455421125735858
100,20907,0.007232926759369433,0.0004592563045559631
